id,ar,latin,tr,siga
23,مَا أَنْزَلَهُ,Maenzelehu,Acayip indi,Fi’l-i taaccüb-i evvel
24,وَ أَنْزِلْ بِهِ,Veenzilbihi,Ne acayip indi,Fi’l-i taaccüb-i sânî
1,صَدَقَ,SADEGA,Doğru söyledi,Fi’l-i mâzî
2,يَصْدُقُ,Yesdugu,Doğru söylüyor,Fi’l-i muzârî
3,صِدْقًا,Sıdgan,Doğru söylemek,Masdar-ı gayr-i mimî
4,صَادِقٌ,Sadugun,Doğru söyleyen,İsm-i fâil
5,مَصْدُوقٌ,Mesdugun,Doğru söylenilen,İsm-i mef’ûl
6,لَمْ يَصْدُقْ,Lemyesdug,Doğru söylemedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَصْدُقْ,Lemmayesdug,Henüz doğru söylemedi,Fi’l-i muzârî cahd-i müstağrak
8,مَا  يَصْدُقُ,Mayesdugu,Doğru söylemiyor,Fi’l-i muzârî nefy-i hâl
9,لَا  يَصْدُقُ,Layesdugu,Doğru söylemez,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ  يَصْدُقَ,Lenyesduga,Asla doğru söylemez,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَصْدُقْ,Liyesdug,Doğru söylesin,Emr-i gâib
12,لَا يَصْدُقْ,Layesdug,Doğru söylemesin,Nehy-i gâib
13,اُصْدُقْ,Üsdug,Doğru söyle,Emr-i hâzır
14,لَا تَصْدُقْ,Latesdug,Doğru söyleme,Nehy-i hâzır
15,مَصْدَقٌ,Mesdagun,"Doğru söyleme zamanı,mekanı,doğru söylemek","İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِصْدَقٌ,Misdagun,Doğru söyleme aleti,İsm-i âlet
17,صَدْقَةً,Sadgaten,Bir kere doğru söylemek,Masdar binâ-i merra
18,صِدْقَةً,Sıdgaten,Bir çeşit doğru söylemek,Masdar binâ-i nevi
19,صُدَيْقٌ,Sudeygun,Doğru söylemecik,İsm-i tasğîr
20,صِدْقِيٌّ,Sıdgıyyun,Doğru söylemeye mensup,İsm-i mensûb
21,صَدَّاقٌ,Saddagun,Çokça doğru söyleyen,Mübâlağa-i ism-i fâil
22,أَصْدَقُ,Esdagu,En doğru söyleyen,İsm-i tafdîl
23,مَا أَصْدَقَهُ,Maesdegahu,Acayip doğru söyledi,Fi’l-i taaccüb-i evvel
24,وَأَصْدِقْ بِهِ,Veesdıgbihi,Ne acayip doğru söyledi,Fi’l-i taaccüb-i sânî
1,سَجَدَ,SECEDE,Secde etti,Fi’l-i mâzî
2,يَسْجُدُ,Yescudu,"Secde ediyor, eder, edecek",Fi’l-i muzârî
3,سُجُودًا,Sucuden,Secde etmek,Masdar-ı gayr-i mimî
4,سَاجِدٌ,Sacidun,Secde eden,İsm-i fâil
5,مَسْجُودٌ,Mescudun,Secde edilen,İsm-i mef’ûl
6,لَمْ يَسْجُدْ,Lemyescud,Secde etmedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَسْجُدْ,Lemmayescud,Henüz secde etmedi,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَسْجُدُ,Mayescudu,Secde etmiyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَسْجُدُ,Layescudu,Secde etmeyecek,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَسْجُدَ,Lenyescuda,Elbette secde etmeyecek,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَسْجُدْ,Liyescud,Secde etsin,Emr-i gâib
12,لَا يَسْجُدْ,Layescud,Secde etmesin,Nehy-i gâib
13,اُسْجُدْ,Üscud,Secde et,Emr-i hâzır
14,لَا تَسْجُدْ,Latescud,Secde etme,Nehy-i hâzır
15,مَسْجِدٌ,Mescidün,"Secde etme zamanı,mekanı,secde etmek","İsm-i zaman İsm-i mekân, Masdar-ı mimî"
16,مِسْجَدَةٌ,Miscadetun,Secde etme aleti,İsm-i âlet
17,سُجُودًا,Sûcuden,Bir kere secde etmek,Masdar binâ-i merra
18,سِجْدَةً,Sicdeten,Bir türlü secde etmek,Masdar binâ-i nevi
19,سُجَيْدٌ,Suceydun,Secde etmecik,İsm-i tasğîr
20,سَجْدِيٌّ,Secdiyyun,Secde etmeye mensup,İsm-i mensûb
21,سَجَّدٌ,Seccadun,Çok çok secde eden,Mübâlağa-i ism-i fâil
22,اَسْجُدُ,Escudu,Ziyade secde edici,İsm-i tafdîl
23,مَا اَسْجُدُهُ,Maescuduhu,Acayip secde etti,Fi’l-i taaccüb-i evvel
24,وَاسْجُدْبِهِ,Veescudbihi,Ne acayip secde etti,Fi’l-i taaccüb-i sânî
