id,ar,latin,tr,siga
4,ناَظِرٌ,Nazirun,Bakan,İsm-i fâil
5,مَنْظُورٌ,Menzurun,Bakılan,İsm-i mef’ûl
6,لَمْ يَنْظُرْ,Lemyenzur,Bakmadı,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَنْظُرْ,Lemmayenzur,Henüz bakmadı,Fi’l-i muzârî cahd-i müstağrak
8,ماَ يَنْظُرُ,Mayenzuru,Bakmıyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَنْظُرُ,Layenzuru,Bakmayacak,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَنْظُرَ,Lenyenzura,Elbette bakmayacak,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَنْظُرْ,Liyenzur,Baksın,Emr-i gâib
12,لَا يَنْظُرْ,Layenzur,Bakmasın,Nehy-i gâib
13,اُنْظُرْ,Ünzur,Bak,Emr-i hâzır
14,لَا تَنْظُرْ,Latenzur,Bakma,Nehy-i hâzır
15,مَنْظَرٌ,Menzarun,"Bakma zamanı, Bakma mekânı, Bakmak","İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِنْظَرٌ,Minzarun,Bakma aleti,İsm-i âlet
17,نَظْرَةً,Nazraten,Bir kere bakmak,Masdar binâ-i merra
18,نِظْرَةً,Nizraten,Bir nevi bakmak,Masdar binâ-i nevi
19,نُظَيْرٌ,Nuzayrun,Küçük bir bakmak,İsm-i tasğîr
20,نَظْرِيٌّ,Nazriyyun,Bakmaya mensup,İsm-i mensûb
21,نَظَّارٌ,Nazzarun,Çok bakan,Mübâlağa-i ism-i fâil
22,أَنْظَرُ,Enzaru,En çok bakan,İsm-i tafdîl
23,مَا أَنْظَرَهُ,Maenzarahu,Acaip baktı,Fi’l-i taaccüb-i evvel
24,وَ أَنْظِرْ بِهِ,Veenzirbihi,Ne acaip baktı,Fi’l-i taaccüb-i sânî
1,قَرِبَ,GARİBE,Yaklaştı,Fi’l-i mâzî
2,يَقْرَبُ,Yegrabü,"Yaklaşıyor, yaklaşır, yaklaşacak",Fi’l-i muzârî
3,قُرْبًا,Gurban,Yaklaşmak,Masdar-ı gayr-i mimî
4,قَارِبٌ,Garibün,Yaklaşan,İsm-i fâil
5,مَقْرُوبٌ,Megrubün,Yaklaşılmış,İsm-i mef’ûl
6,لَمْ يَقْرَبْ,Lemyegrab,Yaklaşmadı,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَقْرَبْ,Lemmayegrab,Henüz yaklaşmadı,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَقْرَبُ,Mayegrabü,Yaklaşmıyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَقْرَبُ,Layegrabü,Yaklaşmayacak,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَقْرَبَ,Lenyegrabe,Elbette yaklaşmayacak,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَقْرَبْ,Liyegrab,Yaklaşsın,Emr-i gâib
12,لَا يَقْرَبْ,Layegrab,Yaklaşmasın,Nehy-i gâib
13,اِقْرَبْ,Igrab,Yaklaş,Emr-i hâzır
14,لَا تَقْرَبْ,Lategrab,Yaklaşma,Nehy-i hâzır
15,مَقْرَبٌ,Megrabün,"Yaklaşma zamanı, yaklaşma mekanı, yaklaşmak","İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِقْرَبٌ,Migrabün,Yaklaşma aleti,İsm-i âlet
17,قَرْبَةً,Garbeten,Bir kere yaklaşmak,Masdar binâ-i merra
18,قِرْبَةً,Girbeten,Bir türlü yaklaşmak,Masdar binâ-i nevi
19,قُرَيْبٌ,Gureybun,Yaklaşmacık,İsm-i tasğîr
20,قَرْبِىٌّ,Gurbiyyun,"Yaklaşmaya mensup, ait",İsm-i mensûb
21,قَرَّابٌ,Garrabun,Çok çok yaklaşan,Mübâlağa-i ism-i fâil
22,اَقْرَبُ,Egrabu,Ziyade yaklaşıcı,İsm-i tafdîl
23,مَا اَقْرَبَهُ,Maegrabehu,Acayip yaklaştı,Fi’l-i taaccüb-i evvel
24,وَاَقْرِبْ بِهِ,Veegribbihi,Ne acayip yaklaştı,Fi’l-i taaccüb-i sânî
1,فَتَحَ,FETAHA,Açtı,Fi’l-i mâzî
2,يَفْتَحُ,Yeftehu,"Açıyor,açar,açacak",Fi’l-i muzârî
3,فَتْحًا,Fethan,Açmak,Masdar-ı gayr-i mimî
4,فَاتِحٌ,Fatihun,Açan,İsm-i fâil
5,مَفْتُوحٌ,Meftuhun,Açılan,İsm-i mef’ûl
6,لَمْ يَفْتَحْ,Lemyeftah,Açmadı,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَفْتَحْ,Lemmayeftah,Henüz açmadı,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَفْتَحُ,Mayeftehu,Açmıyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَفْتَحُ,Layeftehu,Açmayacak,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَفْتَحَ,Lenyefteha,Elbette açmayacak,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَفْتَحْ,Liyeftah,Açsın,Emr-i gâib
12,لَا يَفْتَحْ,Layeftah,Açmasın,Nehy-i gâib
13,اِفْتَحْ,İfteh,Aç,Emr-i hâzır
14,لَا تَفْتَحْ,Lateftah,Açma,Nehy-i hâzır
15,مَفْتَحٌ,Meftehun,"Açma zamanı,mekanı,açmak","İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِفْتَاحٌ,Miftahun,Açma aleti,İsm-i âlet
17,فَتْحَةً,Fethaten,Bir kere açmak,Masdar binâ-i merra
18,فِتْحَةً,Fithaten,Bir türlü açmak,Masdar binâ-i nevi
19,فُتَيْحٌ,Füteyhun,Açmacık,İsm-i tasğîr
20,فَتْحِيٌّ,Fethiyyun,Açmaya mensup,İsm-i mensûb
21,فَتَّاحٌ,Fettahun,Çok çok açan,Mübâlağa-i ism-i fâil
22,اَفْتَحُ,Eftehu,Ziyade açıcı,İsm-i tafdîl
23,ماَ اَفْتَحَهُ,Maeftehahu,Acayip açtı,Fi’l-i taaccüb-i evvel
24,وَأَفْتِحْ بِهِ,Veeftihbihi,Ne acayip açtı,Fi’l-i taaccüb-i sânî
1,حَسِبَ,HASİBE,Zan etti,Fi’l-i mâzî
2,يَحْسِبُ,Yehsibü,"Zannediyor,eder,edecek",Fi’l-i muzârî
3,حِسْبَانً,Hisbanen,Zannetmek,Masdar-ı gayr-i mimî
4,حَاسِبٌ,Hasibün,Zanneden,İsm-i fâil
5,مَحْسُوبٌ,Mehsübün,Zannedilen,İsm-i mef’ûl
6,لَمْ يَحْسِبْ,Lemyehsib,Zannetmedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَحْسِبْ,Lemmayehsib,Henüz zannetmedi,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَحْسِبُ,Mayehsibü,Zannetmiyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَحْسِبُا,Layehsibü,Zannetmeyecek,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَحْسِبَ,Lenyehsibe,Elbette zannetmeyecek,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَحْسِبْ,Liyehsib,Zannetsin,Emr-i gâib
